month,editor_type,total.content,total.non-content
2012--0-4-T00:00:00.000Z,user,126376,46095
2012--0-4-T00:00:00.000Z,group-bot,51507,4625
2012--0-4-T00:00:00.000Z,name-bot,196999,10744
2012--0-5-T00:00:00.000Z,anonymous,28936,3236
2012--0-5-T00:00:00.000Z,user,125656,47957
2012--0-5-T00:00:00.000Z,group-bot,35804,40615
2012--0-5-T00:00:00.000Z,name-bot,196440,17736
2012--0-6-T00:00:00.000Z,anonymous,26855,2534
2012--0-6-T00:00:00.000Z,user,127026,44133
2012--0-6-T00:00:00.000Z,group-bot,31764,14080
2012--0-6-T00:00:00.000Z,name-bot,66484,12375
2012--0-7-T00:00:00.000Z,anonymous,23983,2860
2012--0-7-T00:00:00.000Z,user,138150,44812
2012--0-7-T00:00:00.000Z,group-bot,45913,8974
2012--0-7-T00:00:00.000Z,name-bot,83306,13895
2012--0-8-T00:00:00.000Z,anonymous,25169,2394
2012--0-8-T00:00:00.000Z,user,146986,53112
2012--0-8-T00:00:00.000Z,group-bot,38626,6054
2012--0-8-T00:00:00.000Z,name-bot,89448,10862
2012--0-9-T00:00:00.000Z,anonymous,23538,2366
2012--0-9-T00:00:00.000Z,user,116773,41965
2012--0-9-T00:00:00.000Z,group-bot,51327,21558
2012--0-9-T00:00:00.000Z,name-bot,63080,7774
2012--1-0-T00:00:00.000Z,anonymous,23226,2652
2012--1-0-T00:00:00.000Z,user,118797,38742
2012--1-0-T00:00:00.000Z,group-bot,36487,6479
2012--1-0-T00:00:00.000Z,name-bot,89292,12155
2012--1-1-T00:00:00.000Z,anonymous,24530,2512
2012--1-1-T00:00:00.000Z,user,124536,39149
2012--1-1-T00:00:00.000Z,group-bot,39251,6097
2012--1-1-T00:00:00.000Z,name-bot,52605,8856
2012--1-2-T00:00:00.000Z,anonymous,24238,2362
2012--1-2-T00:00:00.000Z,user,128766,47183
2012--1-2-T00:00:00.000Z,group-bot,46858,6470
2012--1-2-T00:00:00.000Z,name-bot,92945,8761
2013--0-1-T00:00:00.000Z,anonymous,30149,2253
2013--0-1-T00:00:00.000Z,user,143741,48584
2013--0-1-T00:00:00.000Z,group-bot,62560,18015
2013--0-1-T00:00:00.000Z,name-bot,160322,17639
2013--0-2-T00:00:00.000Z,anonymous,25287,2201
2013--0-2-T00:00:00.000Z,user,129594,42150
2013--0-2-T00:00:00.000Z,group-bot,80036,16944
2013--0-2-T00:00:00.000Z,name-bot,80279,14830
2013--0-3-T00:00:00.000Z,anonymous,24849,2207
2013--0-3-T00:00:00.000Z,user,129413,42092
2013--0-3-T00:00:00.000Z,group-bot,8794,5520
2013--0-3-T00:00:00.000Z,name-bot,677859,60847
2013--0-4-T00:00:00.000Z,anonymous,23829,1954
2013--0-4-T00:00:00.000Z,user,119620,39444
2013--0-4-T00:00:00.000Z,group-bot,37491,8076
2013--0-4-T00:00:00.000Z,name-bot,112104,11366
2013--0-5-T00:00:00.000Z,anonymous,26087,2239
2013--0-5-T00:00:00.000Z,user,132285,36735
2013--0-5-T00:00:00.000Z,group-bot,16098,3029
2013--0-5-T00:00:00.000Z,name-bot,25557,2937
2013--0-6-T00:00:00.000Z,anonymous,23490,1876
2013--0-6-T00:00:00.000Z,user,118315,36611
2013--0-6-T00:00:00.000Z,group-bot,146526,4893
2013--0-6-T00:00:00.000Z,name-bot,14564,9745
2013--0-7-T00:00:00.000Z,anonymous,22731,2003
2013--0-7-T00:00:00.000Z,user,107096,39140
2013--0-7-T00:00:00.000Z,group-bot,16084,4092
2013--0-7-T00:00:00.000Z,name-bot,7696,3650
2013--0-8-T00:00:00.000Z,anonymous,20897,2234
2013--0-8-T00:00:00.000Z,user,110166,39577
2013--0-8-T00:00:00.000Z,group-bot,13763,2193
2013--0-8-T00:00:00.000Z,name-bot,11396,6273
2013--0-9-T00:00:00.000Z,anonymous,20380,2168
2013--0-9-T00:00:00.000Z,user,108590,39728
2013--0-9-T00:00:00.000Z,group-bot,2273,1658
2013--0-9-T00:00:00.000Z,name-bot,3497,7394
2013--1-0-T00:00:00.000Z,anonymous,21969,2267
2013--1-0-T00:00:00.000Z,user,105285,31470
2013--1-0-T00:00:00.000Z,group-bot,5122,2787
2013--1-0-T00:00:00.000Z,name-bot,1521,3644
2013--1-1-T00:00:00.000Z,anonymous,23970,2452
2013--1-1-T00:00:00.000Z,user,108063,40808
2013--1-1-T00:00:00.000Z,group-bot,15572,3177
2013--1-1-T00:00:00.000Z,name-bot,19047,2086
2013--1-2-T00:00:00.000Z,anonymous,23282,2544
2013--1-2-T00:00:00.000Z,user,112182,39681
2013--1-2-T00:00:00.000Z,group-bot,9751,2288
2013--1-2-T00:00:00.000Z,name-bot,48315,4106
2014--0-1-T00:00:00.000Z,anonymous,28719,3056
2014--0-1-T00:00:00.000Z,user,134175,47060
2014--0-1-T00:00:00.000Z,group-bot,49902,3928
2014--0-1-T00:00:00.000Z,name-bot,3658,5588
2014--0-2-T00:00:00.000Z,anonymous,23337,2360
2014--0-2-T00:00:00.000Z,user,116537,38832
2014--0-2-T00:00:00.000Z,group-bot,24398,2572
2014--0-2-T00:00:00.000Z,name-bot,2249,2663
2014--0-3-T00:00:00.000Z,anonymous,24952,2398
2014--0-3-T00:00:00.000Z,user,114240,38973
2014--0-3-T00:00:00.000Z,group-bot,56736,5331
2014--0-3-T00:00:00.000Z,name-bot,92330,7047
2014--0-4-T00:00:00.000Z,anonymous,23660,2089
2014--0-4-T00:00:00.000Z,user,105015,38693
2014--0-4-T00:00:00.000Z,group-bot,6554,3168
2014--0-4-T00:00:00.000Z,name-bot,1550,3440
2014--0-5-T00:00:00.000Z,anonymous,24130,2245
2014--0-5-T00:00:00.000Z,user,108059,33949
2014--0-5-T00:00:00.000Z,group-bot,6973,2458
2014--0-5-T00:00:00.000Z,name-bot,2198,3180
2014--0-6-T00:00:00.000Z,anonymous,23856,2232
2014--0-6-T00:00:00.000Z,user,102745,31617
2014--0-6-T00:00:00.000Z,group-bot,39249,3702
2014--0-6-T00:00:00.000Z,name-bot,7989,4249
2014--0-7-T00:00:00.000Z,anonymous,19330,2019
2014--0-7-T00:00:00.000Z,user,110236,33580
2014--0-7-T00:00:00.000Z,group-bot,3325,4642
2014--0-7-T00:00:00.000Z,name-bot,10579,1081
2014--0-8-T00:00:00.000Z,anonymous,19269,1940
2014--0-8-T00:00:00.000Z,user,112682,35690
2014--0-8-T00:00:00.000Z,group-bot,76778,20957
2014--0-8-T00:00:00.000Z,name-bot,7111,3070
2014--0-9-T00:00:00.000Z,anonymous,18120,1806
2014--0-9-T00:00:00.000Z,user,105029,34197
2014--0-9-T00:00:00.000Z,group-bot,22778,20242
2014--0-9-T00:00:00.000Z,name-bot,21070,634
2014--1-0-T00:00:00.000Z,anonymous,19602,1947
2014--1-0-T00:00:00.000Z,user,119326,34258
2014--1-0-T00:00:00.000Z,group-bot,58488,21781
2014--1-0-T00:00:00.000Z,name-bot,7994,696
2014--1-1-T00:00:00.000Z,anonymous,19628,1928
2014--1-1-T00:00:00.000Z,user,114148,32990
2014--1-1-T00:00:00.000Z,group-bot,27161,2900
2014--1-1-T00:00:00.000Z,name-bot,22521,2671
2014--1-2-T00:00:00.000Z,anonymous,20835,1816
2014--1-2-T00:00:00.000Z,user,123945,37302
2014--1-2-T00:00:00.000Z,group-bot,88062,8838
2014--1-2-T00:00:00.000Z,name-bot,3895,809
2015--0-1-T00:00:00.000Z,anonymous,24454,2399
2015--0-1-T00:00:00.000Z,user,137078,50359
2015--0-1-T00:00:00.000Z,group-bot,15688,16372
2015--0-1-T00:00:00.000Z,name-bot,8371,1026
2015--0-2-T00:00:00.000Z,anonymous,19885,2211
2015--0-2-T00:00:00.000Z,user,123671,37602
2015--0-2-T00:00:00.000Z,group-bot,53837,16660
2015--0-2-T00:00:00.000Z,name-bot,2561,685
2015--0-3-T00:00:00.000Z,anonymous,21588,2251
2015--0-3-T00:00:00.000Z,user,133993,36791
2015--0-3-T00:00:00.000Z,group-bot,29651,62915
2015--0-3-T00:00:00.000Z,name-bot,6148,555
2015--0-4-T00:00:00.000Z,anonymous,19765,1866
2015--0-4-T00:00:00.000Z,user,108363,32631
2015--0-4-T00:00:00.000Z,group-bot,6695,117111
2015--0-4-T00:00:00.000Z,name-bot,2117,1389
2015--0-5-T00:00:00.000Z,anonymous,18798,1892
2015--0-5-T00:00:00.000Z,user,108493,32202
2015--0-5-T00:00:00.000Z,group-bot,10827,9549
2015--0-5-T00:00:00.000Z,name-bot,8212,945
2015--0-6-T00:00:00.000Z,anonymous,18192,1901
2015--0-6-T00:00:00.000Z,user,128234,31798
2015--0-6-T00:00:00.000Z,group-bot,33105,25502
2015--0-6-T00:00:00.000Z,name-bot,2366,791
2015--0-7-T00:00:00.000Z,anonymous,16597,2031
2015--0-7-T00:00:00.000Z,user,118201,37326
2015--0-7-T00:00:00.000Z,group-bot,22690,10151
2015--0-7-T00:00:00.000Z,name-bot,15050,1472
2015--0-8-T00:00:00.000Z,anonymous,16219,1982
2015--0-8-T00:00:00.000Z,user,124158,34130
2015--0-8-T00:00:00.000Z,group-bot,14188,5305
2015--0-8-T00:00:00.000Z,name-bot,958,638
2015--0-9-T00:00:00.000Z,anonymous,17811,2037
2015--0-9-T00:00:00.000Z,user,111562,32135
2015--0-9-T00:00:00.000Z,group-bot,12037,3491
2015--0-9-T00:00:00.000Z,name-bot,13036,451
2015--1-0-T00:00:00.000Z,anonymous,19192,1994
2015--1-0-T00:00:00.000Z,user,123706,35264
2015--1-0-T00:00:00.000Z,group-bot,25315,17386
2015--1-0-T00:00:00.000Z,name-bot,4834,718
2015--1-1-T00:00:00.000Z,anonymous,20347,1927
2015--1-1-T00:00:00.000Z,user,121219,33854
2015--1-1-T00:00:00.000Z,group-bot,34692,7412
2015--1-1-T00:00:00.000Z,name-bot,4536,750
2015--1-2-T00:00:00.000Z,anonymous,18356,2063
2015--1-2-T00:00:00.000Z,user,119554,36125
2015--1-2-T00:00:00.000Z,group-bot,37172,14673
2015--1-2-T00:00:00.000Z,name-bot,18966,1127
2016--0-1-T00:00:00.000Z,anonymous,22442,2373
2016--0-1-T00:00:00.000Z,user,137605,40857
2016--0-1-T00:00:00.000Z,group-bot,78176,21782
2016--0-1-T00:00:00.000Z,name-bot,25111,1429
2016--0-2-T00:00:00.000Z,anonymous,20251,2223
2016--0-2-T00:00:00.000Z,user,129805,34651
2016--0-2-T00:00:00.000Z,group-bot,72960,20044
2016--0-2-T00:00:00.000Z,name-bot,27914,402
2016--0-3-T00:00:00.000Z,anonymous,20119,2431
2016--0-3-T00:00:00.000Z,user,130160,37581
2016--0-3-T00:00:00.000Z,group-bot,17696,12441
2016--0-3-T00:00:00.000Z,name-bot,11078,431
2016--0-4-T00:00:00.000Z,anonymous,19206,1745
2016--0-4-T00:00:00.000Z,user,119930,33005
2016--0-4-T00:00:00.000Z,group-bot,34109,5901
2016--0-4-T00:00:00.000Z,name-bot,130,335
2016--0-5-T00:00:00.000Z,anonymous,19467,1851
2016--0-5-T00:00:00.000Z,user,126938,36546
2016--0-5-T00:00:00.000Z,group-bot,52516,13512
2016--0-5-T00:00:00.000Z,name-bot,555,243
2016--0-6-T00:00:00.000Z,anonymous,18238,1903
2016--0-6-T00:00:00.000Z,user,110907,32156
2016--0-6-T00:00:00.000Z,group-bot,101890,16251
2016--0-6-T00:00:00.000Z,name-bot,323,457
2016--0-7-T00:00:00.000Z,anonymous,17407,2053
2016--0-7-T00:00:00.000Z,user,121081,37501
2016--0-7-T00:00:00.000Z,group-bot,14144,16557
2016--0-7-T00:00:00.000Z,name-bot,1014,288
2016--0-8-T00:00:00.000Z,anonymous,17734,1829
2016--0-8-T00:00:00.000Z,user,116276,37972
2016--0-8-T00:00:00.000Z,group-bot,23352,12205
2016--0-8-T00:00:00.000Z,name-bot,588,600
2016--0-9-T00:00:00.000Z,anonymous,16933,1652
2016--0-9-T00:00:00.000Z,user,116636,37189
2016--0-9-T00:00:00.000Z,group-bot,55287,26693
2016--0-9-T00:00:00.000Z,name-bot,171,267
2016--1-0-T00:00:00.000Z,anonymous,18440,2027
2016--1-0-T00:00:00.000Z,user,127450,35260
2016--1-0-T00:00:00.000Z,group-bot,160027,19840
2016--1-0-T00:00:00.000Z,name-bot,2577,470
2016--1-1-T00:00:00.000Z,anonymous,19227,1871
2016--1-1-T00:00:00.000Z,user,125349,37127
2016--1-1-T00:00:00.000Z,group-bot,93864,13274
2016--1-1-T00:00:00.000Z,name-bot,9036,552
2016--1-2-T00:00:00.000Z,anonymous,18405,2404
2016--1-2-T00:00:00.000Z,user,144456,42198
2016--1-2-T00:00:00.000Z,group-bot,89157,28260
2016--1-2-T00:00:00.000Z,name-bot,1005,1735
2017--0-1-T00:00:00.000Z,anonymous,22050,1976
2017--0-1-T00:00:00.000Z,user,154406,43119
2017--0-1-T00:00:00.000Z,group-bot,48749,26652
2017--0-1-T00:00:00.000Z,name-bot,6631,322
2017--0-2-T00:00:00.000Z,anonymous,21700,1871
2017--0-2-T00:00:00.000Z,user,127214,40594
2017--0-2-T00:00:00.000Z,group-bot,38954,26955
2017--0-2-T00:00:00.000Z,name-bot,2288,44
2017--0-3-T00:00:00.000Z,anonymous,22532,2064
2017--0-3-T00:00:00.000Z,user,129054,43256
2017--0-3-T00:00:00.000Z,group-bot,17395,20326
2017--0-3-T00:00:00.000Z,name-bot,726,862
2017--0-4-T00:00:00.000Z,anonymous,19937,1567
2017--0-4-T00:00:00.000Z,user,121363,39655
2017--0-4-T00:00:00.000Z,group-bot,28499,13625
2017--0-4-T00:00:00.000Z,name-bot,11816,139
2017--0-5-T00:00:00.000Z,anonymous,20225,1989
2017--0-5-T00:00:00.000Z,user,126908,38292
2017--0-5-T00:00:00.000Z,group-bot,14353,17337
2017--0-5-T00:00:00.000Z,name-bot,31268,107
2017--0-6-T00:00:00.000Z,anonymous,18507,1706
2017--0-6-T00:00:00.000Z,user,118502,33662
2017--0-6-T00:00:00.000Z,group-bot,46888,22304
2017--0-6-T00:00:00.000Z,name-bot,815,30
2017--0-7-T00:00:00.000Z,anonymous,17669,1760
2017--0-7-T00:00:00.000Z,user,115109,32220
2017--0-7-T00:00:00.000Z,group-bot,52463,23815
2017--0-7-T00:00:00.000Z,name-bot,3697,1329
2017--0-8-T00:00:00.000Z,anonymous,17241,2341
2017--0-8-T00:00:00.000Z,user,118014,32103
2017--0-8-T00:00:00.000Z,group-bot,18562,10667
2017--0-8-T00:00:00.000Z,name-bot,638,166
2017--0-9-T00:00:00.000Z,anonymous,17632,1985
2017--0-9-T00:00:00.000Z,user,115387,35448
2017--0-9-T00:00:00.000Z,group-bot,45646,17828
2017--0-9-T00:00:00.000Z,name-bot,166,133
2017--1-0-T00:00:00.000Z,anonymous,18546,1689
2017--1-0-T00:00:00.000Z,user,126776,38294
2017--1-0-T00:00:00.000Z,group-bot,28603,66550
2017--1-0-T00:00:00.000Z,name-bot,359,34
2017--1-1-T00:00:00.000Z,anonymous,18743,1624
2017--1-1-T00:00:00.000Z,user,137260,39112
2017--1-1-T00:00:00.000Z,group-bot,67228,18808
2017--1-1-T00:00:00.000Z,name-bot,15952,88
2017--1-2-T00:00:00.000Z,anonymous,18904,1878
2017--1-2-T00:00:00.000Z,user,135320,38690
2017--1-2-T00:00:00.000Z,group-bot,55627,21483
2017--1-2-T00:00:00.000Z,name-bot,21352,468
2018--0-1-T00:00:00.000Z,anonymous,22283,1941
2018--0-1-T00:00:00.000Z,user,138134,41476
2018--0-1-T00:00:00.000Z,group-bot,686390,31866
2018--0-1-T00:00:00.000Z,name-bot,761,32
2018--0-2-T00:00:00.000Z,anonymous,19291,1856
2018--0-2-T00:00:00.000Z,user,119335,31606
2018--0-2-T00:00:00.000Z,group-bot,32259,16453
2018--0-2-T00:00:00.000Z,name-bot,2833,66
2018--0-3-T00:00:00.000Z,anonymous,21587,2523
2018--0-3-T00:00:00.000Z,user,128008,37517
2018--0-3-T00:00:00.000Z,group-bot,174967,26781
2018--0-3-T00:00:00.000Z,name-bot,2226,30
2018--0-4-T00:00:00.000Z,anonymous,18057,2488
2018--0-4-T00:00:00.000Z,user,112752,31403
2018--0-4-T00:00:00.000Z,group-bot,39482,21906
2018--0-4-T00:00:00.000Z,name-bot,1311,53
2018--0-5-T00:00:00.000Z,anonymous,18276,2125
2018--0-5-T00:00:00.000Z,user,119929,33317
2018--0-5-T00:00:00.000Z,group-bot,29235,19583
2018--0-5-T00:00:00.000Z,name-bot,49,28
2018--0-6-T00:00:00.000Z,anonymous,16280,2307
2018--0-6-T00:00:00.000Z,user,110534,30415
2018--0-6-T00:00:00.000Z,group-bot,45474,16678
2018--0-6-T00:00:00.000Z,name-bot,4848,62
2018--0-7-T00:00:00.000Z,anonymous,14544,2259
2018--0-7-T00:00:00.000Z,user,113723,36987
2018--0-7-T00:00:00.000Z,group-bot,38216,18114
2018--0-7-T00:00:00.000Z,name-bot,2469,32
2018--0-8-T00:00:00.000Z,anonymous,15962,2836
2018--0-8-T00:00:00.000Z,user,119879,34875
2018--0-8-T00:00:00.000Z,group-bot,92599,21686
2018--0-8-T00:00:00.000Z,name-bot,1650,48
2018--0-9-T00:00:00.000Z,anonymous,16055,2740
2018--0-9-T00:00:00.000Z,user,107272,30148
2018--0-9-T00:00:00.000Z,group-bot,27175,13113
2018--0-9-T00:00:00.000Z,name-bot,2173,66
2018--1-0-T00:00:00.000Z,anonymous,19158,2207
2018--1-0-T00:00:00.000Z,user,107643,27306
2018--1-0-T00:00:00.000Z,group-bot,113845,15675
2018--1-0-T00:00:00.000Z,name-bot,173,136
2018--1-1-T00:00:00.000Z,anonymous,19877,2207
2018--1-1-T00:00:00.000Z,user,114645,30444
2018--1-1-T00:00:00.000Z,group-bot,61287,10772
2018--1-1-T00:00:00.000Z,name-bot,2676,150
2018--1-2-T00:00:00.000Z,anonymous,17635,2585
2018--1-2-T00:00:00.000Z,user,127270,36640
2018--1-2-T00:00:00.000Z,group-bot,48282,52081
2018--1-2-T00:00:00.000Z,name-bot,1710,540
2019--0-1-T00:00:00.000Z,anonymous,20736,2670
2019--0-1-T00:00:00.000Z,user,140244,38743
2019--0-1-T00:00:00.000Z,group-bot,47531,20605
2019--0-1-T00:00:00.000Z,name-bot,219,146
2019--0-2-T00:00:00.000Z,anonymous,18712,2347
2019--0-2-T00:00:00.000Z,user,121636,31971
2019--0-2-T00:00:00.000Z,group-bot,62951,19231
2019--0-2-T00:00:00.000Z,name-bot,970,179
2019--0-3-T00:00:00.000Z,anonymous,21455,2201
2019--0-3-T00:00:00.000Z,user,132119,33369
2019--0-3-T00:00:00.000Z,group-bot,69567,17400
2019--0-3-T00:00:00.000Z,name-bot,53,174
2019--0-4-T00:00:00.000Z,anonymous,19114,2110
2019--0-4-T00:00:00.000Z,user,123717,33191
2019--0-4-T00:00:00.000Z,group-bot,22461,16808
2019--0-4-T00:00:00.000Z,name-bot,2592,306
2019--0-5-T00:00:00.000Z,anonymous,20898,1839
2019--0-5-T00:00:00.000Z,user,117883,31031
2019--0-5-T00:00:00.000Z,group-bot,11165,19063
2019--0-5-T00:00:00.000Z,name-bot,517,96
2019--0-6-T00:00:00.000Z,anonymous,18494,1240
2019--0-6-T00:00:00.000Z,user,99172,27029
2019--0-6-T00:00:00.000Z,group-bot,10332,16203
2019--0-6-T00:00:00.000Z,name-bot,35,123
2019--0-7-T00:00:00.000Z,anonymous,18713,1393
2019--0-7-T00:00:00.000Z,user,103615,26967
2019--0-7-T00:00:00.000Z,group-bot,11632,13553
2019--0-7-T00:00:00.000Z,name-bot,159,118
2019--0-8-T00:00:00.000Z,anonymous,18823,1688
2019--0-8-T00:00:00.000Z,user,98142,26716
2019--0-8-T00:00:00.000Z,group-bot,34695,13359
2019--0-8-T00:00:00.000Z,name-bot,1027,142
2019--0-9-T00:00:00.000Z,anonymous,18499,1253
2019--0-9-T00:00:00.000Z,user,98966,29068
2019--0-9-T00:00:00.000Z,group-bot,82202,10828
2019--0-9-T00:00:00.000Z,name-bot,4,1882
2019--1-0-T00:00:00.000Z,anonymous,20555,1548
2019--1-0-T00:00:00.000Z,user,109797,29765
2019--1-0-T00:00:00.000Z,group-bot,39443,11348
2019--1-0-T00:00:00.000Z,name-bot,223,779
2019--1-1-T00:00:00.000Z,anonymous,20668,1487
2019--1-1-T00:00:00.000Z,user,111250,31973
2019--1-1-T00:00:00.000Z,group-bot,88036,10536
2019--1-1-T00:00:00.000Z,name-bot,4860,162
2019--1-2-T00:00:00.000Z,anonymous,19202,1379
2019--1-2-T00:00:00.000Z,user,115456,31054
2019--1-2-T00:00:00.000Z,group-bot,43119,10687
2019--1-2-T00:00:00.000Z,name-bot,1361,196
2020--0-1-T00:00:00.000Z,anonymous,23099,1591
2020--0-1-T00:00:00.000Z,user,130464,36952
2020--0-1-T00:00:00.000Z,group-bot,51334,12882
2020--0-1-T00:00:00.000Z,name-bot,18,229
2020--0-2-T00:00:00.000Z,anonymous,22007,1713
2020--0-2-T00:00:00.000Z,user,124002,34374
2020--0-2-T00:00:00.000Z,group-bot,41495,30029
2020--0-2-T00:00:00.000Z,name-bot,669,574
2020--0-3-T00:00:00.000Z,anonymous,25972,1600
2020--0-3-T00:00:00.000Z,user,144617,43765
2020--0-3-T00:00:00.000Z,group-bot,47349,42071
2020--0-3-T00:00:00.000Z,name-bot,2814,222
2020--0-4-T00:00:00.000Z,anonymous,26404,2018
2020--0-4-T00:00:00.000Z,user,142198,43327
2020--0-4-T00:00:00.000Z,group-bot,85776,30646
2020--0-4-T00:00:00.000Z,name-bot,332,304
2020--0-5-T00:00:00.000Z,anonymous,27501,1992
2020--0-5-T00:00:00.000Z,user,142040,43940
2020--0-5-T00:00:00.000Z,group-bot,46834,28000
2020--0-5-T00:00:00.000Z,name-bot,9666,738
2020--0-6-T00:00:00.000Z,anonymous,24870,1549
2020--0-6-T00:00:00.000Z,user,120126,36281
2020--0-6-T00:00:00.000Z,group-bot,33611,24803
2020--0-6-T00:00:00.000Z,name-bot,7427,2788
2020--0-7-T00:00:00.000Z,anonymous,20192,1454
2020--0-7-T00:00:00.000Z,user,114424,34036
2020--0-7-T00:00:00.000Z,group-bot,70680,16903
2020--0-7-T00:00:00.000Z,name-bot,1938,295
2020--0-8-T00:00:00.000Z,anonymous,19652,1742
2020--0-8-T00:00:00.000Z,user,116189,37059
2020--0-8-T00:00:00.000Z,group-bot,26346,9972
2020--0-8-T00:00:00.000Z,name-bot,243,195
2020--0-9-T00:00:00.000Z,anonymous,19315,1334
2020--0-9-T00:00:00.000Z,user,116732,31935
2020--0-9-T00:00:00.000Z,group-bot,22300,12203
2020--0-9-T00:00:00.000Z,name-bot,45,246
2020--1-0-T00:00:00.000Z,anonymous,23792,1766
2020--1-0-T00:00:00.000Z,user,123362,35326
2020--1-0-T00:00:00.000Z,group-bot,45869,13550
2020--1-0-T00:00:00.000Z,name-bot,1699,843
2020--1-1-T00:00:00.000Z,anonymous,25466,1873
2020--1-1-T00:00:00.000Z,user,132503,40986
2020--1-1-T00:00:00.000Z,group-bot,74518,16990
2020--1-1-T00:00:00.000Z,name-bot,4696,191
2020--1-2-T00:00:00.000Z,anonymous,26499,1860
2020--1-2-T00:00:00.000Z,user,145256,40513
2020--1-2-T00:00:00.000Z,group-bot,50470,16055
2020--1-2-T00:00:00.000Z,name-bot,13,540
2021--0-1-T00:00:00.000Z,anonymous,25179,2221
2021--0-1-T00:00:00.000Z,user,160195,48986
2021--0-1-T00:00:00.000Z,group-bot,65867,18780
2021--0-1-T00:00:00.000Z,name-bot,21232,237
2021--0-2-T00:00:00.000Z,anonymous,23825,1556
2021--0-2-T00:00:00.000Z,user,132547,43639
2021--0-2-T00:00:00.000Z,group-bot,37628,13117
2021--0-2-T00:00:00.000Z,name-bot,124,220
2021--0-3-T00:00:00.000Z,anonymous,25967,2428
2021--0-3-T00:00:00.000Z,user,156294,43917
2021--0-3-T00:00:00.000Z,group-bot,110965,17665
2021--0-3-T00:00:00.000Z,name-bot,741,240
2021--0-4-T00:00:00.000Z,anonymous,23040,2160
2021--0-4-T00:00:00.000Z,user,133423,39503
2021--0-4-T00:00:00.000Z,group-bot,35090,18205
2021--0-4-T00:00:00.000Z,name-bot,20252,322
2021--0-5-T00:00:00.000Z,anonymous,24499,2464
2021--0-5-T00:00:00.000Z,user,140153,38149
2021--0-5-T00:00:00.000Z,group-bot,28616,26126
2021--0-5-T00:00:00.000Z,name-bot,83487,420
2021--0-6-T00:00:00.000Z,anonymous,21677,2308
2021--0-6-T00:00:00.000Z,user,118596,31657
2021--0-6-T00:00:00.000Z,group-bot,28782,25634
2021--0-6-T00:00:00.000Z,name-bot,79621,209
2021--0-7-T00:00:00.000Z,anonymous,23999,2046
2021--0-7-T00:00:00.000Z,user,110719,31522
2021--0-7-T00:00:00.000Z,group-bot,100618,16478
2021--0-7-T00:00:00.000Z,name-bot,30498,261
2021--0-8-T00:00:00.000Z,anonymous,21809,1743
2021--0-8-T00:00:00.000Z,user,118840,32162
2021--0-8-T00:00:00.000Z,group-bot,27955,14675
2021--0-8-T00:00:00.000Z,name-bot,5195,224
2021--0-9-T00:00:00.000Z,anonymous,18573,1662
2021--0-9-T00:00:00.000Z,user,111935,30435
2021--0-9-T00:00:00.000Z,group-bot,42154,22622
2021--0-9-T00:00:00.000Z,name-bot,9459,252
2021--1-0-T00:00:00.000Z,anonymous,20370,1805
2021--1-0-T00:00:00.000Z,user,129011,33415
2021--1-0-T00:00:00.000Z,group-bot,43719,17957
2021--1-0-T00:00:00.000Z,name-bot,28689,276
2021--1-1-T00:00:00.000Z,anonymous,19425,2036
2021--1-1-T00:00:00.000Z,user,123065,31323
2021--1-1-T00:00:00.000Z,group-bot,290157,15061
2021--1-1-T00:00:00.000Z,name-bot,13534,25
2021--1-2-T00:00:00.000Z,anonymous,20383,2209
2021--1-2-T00:00:00.000Z,user,127038,30107
2021--1-2-T00:00:00.000Z,group-bot,88678,10403
2021--1-2-T00:00:00.000Z,name-bot,10505,374
2022--0-1-T00:00:00.000Z,anonymous,27750,2203
2022--0-1-T00:00:00.000Z,user,147243,34962
2022--0-1-T00:00:00.000Z,group-bot,87646,16152
2022--0-1-T00:00:00.000Z,name-bot,33257,164
2022--0-2-T00:00:00.000Z,anonymous,21622,2145
2022--0-2-T00:00:00.000Z,user,120246,35172
2022--0-2-T00:00:00.000Z,group-bot,69914,12869
2022--0-2-T00:00:00.000Z,name-bot,40045,465
2022--0-3-T00:00:00.000Z,anonymous,20523,2203
2022--0-3-T00:00:00.000Z,user,113869,29231
2022--0-3-T00:00:00.000Z,group-bot,26113,15309
2022--0-3-T00:00:00.000Z,name-bot,35758,324
2022--0-4-T00:00:00.000Z,anonymous,19977,1759
2022--0-4-T00:00:00.000Z,user,110919,29218
2022--0-4-T00:00:00.000Z,group-bot,139954,9463
2022--0-4-T00:00:00.000Z,name-bot,9112,160
2022--0-5-T00:00:00.000Z,anonymous,22658,2646
2022--0-5-T00:00:00.000Z,user,119332,31299
2022--0-5-T00:00:00.000Z,group-bot,46243,8555
2022--0-5-T00:00:00.000Z,name-bot,365,182
2022--0-6-T00:00:00.000Z,anonymous,17931,2158
2022--0-6-T00:00:00.000Z,user,107904,28899
2022--0-6-T00:00:00.000Z,group-bot,14836,9313
2022--0-6-T00:00:00.000Z,name-bot,4,181
2022--0-7-T00:00:00.000Z,anonymous,16610,1710
2022--0-7-T00:00:00.000Z,user,117604,34441
2022--0-7-T00:00:00.000Z,group-bot,33091,9163
2022--0-7-T00:00:00.000Z,name-bot,6765,245
2022--0-8-T00:00:00.000Z,anonymous,19004,1589
2022--0-8-T00:00:00.000Z,user,112332,30803
2022--0-8-T00:00:00.000Z,group-bot,50623,10200
2022--0-8-T00:00:00.000Z,name-bot,63,213
